[2025-12-27 23:30:23.133] [INFO] [RobustDebugger] Log file initialized
[2025-12-27 23:30:23.182] [INFO] [RobustDebugger] Debugger initialized successfully
[2025-12-27 23:30:23.184] [INFO] [RobustDebugger] Log file: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_debug.log
[2025-12-27 23:30:23.185] [INFO] [RobustDebugger] Error log: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_errors.log
[2025-12-27 23:30:23.186] [INFO] [RobustDebugger] Performance log: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_performance.log
[2025-12-27 23:30:23.187] [INFO] [ESPManager] Starting basic ESP with debugger...
[2025-12-27 23:30:23.213] [INFO] [GameState] Game State: GameManager exists, GameStarted=True
[2025-12-27 23:30:23.644] [INFO] [Diagnostics] Diagnostic report created: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\diagnostic_20251227_233023.txt
[2025-12-27 23:30:25.505] [DEBUG] [CameraLogger] Camera Found: Camera active=True, pos=(15.2, 3.8, -0.4), fov=58.0
[2025-12-27 23:30:25.507] [INFO] [ESPManager] Camera found and initialized
[2025-12-27 23:30:26.014] [DEBUG] [EntityCache] Cached 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:26.812] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:26.813] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:26.815] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:26.816] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:26.997] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:26.999] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.000] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.000] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.002] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.004] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.005] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.006] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.007] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.012] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.201] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.202] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.203] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.204] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.205] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.208] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.209] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.210] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.212] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.213] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.391] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.392] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.394] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.395] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.396] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.399] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.400] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.401] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.403] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.404] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.524] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.526] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.527] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.528] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.529] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.533] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.534] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.535] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.536] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.537] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.638] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.639] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.639] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.640] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.641] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.645] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.646] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.647] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.649] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.650] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.757] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.760] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.761] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.762] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.763] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.767] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.768] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.770] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.771] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.772] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.885] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.886] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.887] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.889] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.889] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:27.892] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:27.894] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:27.895] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:27.896] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:27.897] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.003] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.004] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.005] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.006] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.007] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.011] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.012] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.013] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.014] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.015] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.129] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.130] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.131] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.131] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.132] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.136] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.137] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.138] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.139] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.140] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.287] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.289] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.290] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.291] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.292] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.295] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.296] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.297] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.299] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.300] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.318] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.319] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.320] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.321] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.323] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.336] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.337] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.338] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.339] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.340] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.529] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.530] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.531] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.532] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.533] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.537] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.538] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.539] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.540] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.542] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.547] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.549] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.550] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.550] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.551] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.555] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.556] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.557] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.566] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.567] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.687] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.688] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.689] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.691] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.692] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.695] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.696] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.697] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.700] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.702] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.719] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.721] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.722] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.723] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.724] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.727] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.729] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.730] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.731] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.732] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.748] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:28.749] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:28.750] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:28.751] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:28.752] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:28.754] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
